finish initial
finish greedy
after greedy, 547 elements have been covered
best: 547     current: 571
best: 571     current: 587
best: 587     current: 599
best: 599     current: 605
best: 605     current: 604
best: 605     current: 607
best: 607     current: 611
best: 611     current: 613
best: 613     current: 617
best: 617     current: 618
best: 618     current: 621
best: 621     current: 630
best: 630     current: 634
best: 634     current: 637
best: 637     current: 645
best: 645     current: 643
best: 645     current: 645
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 641
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 638
best: 645     current: 645
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 638
best: 645     current: 645
best: 645     current: 641
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 640
best: 645     current: 643
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 638
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 638
best: 645     current: 639
best: 645     current: 638
best: 645     current: 645
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 638
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 638
best: 645     current: 645
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 638
best: 645     current: 645
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 638
best: 645     current: 645
best: 645     current: 639
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 636
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
best: 645     current: 643
best: 645     current: 639
best: 645     current: 645
